2012	3	9	6	1278
2008	9	38	5	1606
2012	8	35	5	1438
2012	9	39	2	1556
2010	12	51	1	1245
2014	12	49	3	1240
2015	1	5	1	855
2014	8	34	2	1507
2012	2	9	3	1365
2006	1	4	3	1619
2008	4	15	3	1565
2012	8	31	5	1560
2011	2	7	4	1570
2013	4	14	5	1375
2011	11	44	6	1374
2009	12	52	7	1132
2013	3	10	2	1359
2014	6	26	4	1449
2013	2	6	3	1428
2011	10	42	3	1409
2015	2	8	1	997
2015	8	32	5	1509
2007	9	37	7	1351
2011	9	37	7	1161
2007	12	49	2	1457
2008	7	28	3	1586
2015	9	36	2	1524
2012	7	30	3	1650
2013	9	39	7	1336
2011	5	21	3	1594
2009	5	19	5	1620
2006	1	1	2	1395
2008	9	36	1	1238
2006	6	24	2	1648
2013	7	27	5	1535
2015	9	36	6	1380
2015	6	24	7	1262
2010	12	48	6	1298
2008	10	42	4	1646
2006	7	27	6	1381
2011	2	6	3	1338
2009	3	13	3	1594
2008	11	45	6	1410
2015	5	21	7	1191
2007	6	24	3	1692
2010	10	41	3	1613
2012	12	49	1	1289
2012	9	38	5	1542
2010	5	21	2	1646
2014	8	35	1	1372
2006	12	51	5	1439
2009	8	36	1	1429
2015	7	27	5	1431
2012	1	4	7	1159
2010	1	2	1	1329
2009	6	25	4	1324
2012	11	46	1	1221
2006	7	28	3	1555
2010	5	22	1	1184
2006	9	38	5	1577
2011	2	6	7	1146
2015	1	5	5	1159
2013	11	45	1	1343
2014	12	49	2	1263
2007	5	21	4	1614
2012	2	9	2	1466
2013	12	49	1	1389
2007	10	42	4	1716
2010	9	36	6	1395
2011	4	16	4	1453
2012	1	5	1	1307
2010	3	11	5	1481
2015	7	30	7	1364
2008	4	15	2	1530
2006	8	32	3	1766
2006	8	32	5	1611
2012	6	25	2	1569
2010	2	8	3	1479
2011	10	42	2	1519
2010	7	30	4	1633
2013	4	16	6	1294
2006	9	35	5	1501
2009	1	2	1	1413
2010	7	27	7	1188
2013	5	22	5	1335
2006	1	1	3	1634
2008	2	7	4	1352
2010	3	12	6	1241
2015	7	28	7	1297
2015	7	28	1	1370
2009	1	1	4	1223
2006	7	27	7	1297
2010	9	38	6	1407
2008	11	45	7	1257
2009	10	42	2	1626
2010	11	45	3	1593
2012	7	27	3	1291
2011	3	10	1	1257
2012	11	48	2	1228
2009	7	30	3	1628
2007	11	46	1	1283
2007	10	41	1	1365
2008	3	9	7	1191
2011	5	19	2	1643
2011	5	19	4	1651
2014	10	40	5	1391
2014	9	37	1	1389
2011	3	9	4	1313
2006	7	28	2	1643
2015	8	31	7	1313
2010	4	13	6	1229
2009	8	31	7	1233
2010	6	25	4	1522
2011	2	6	6	1353
2015	12	53	1	1267
2012	5	20	4	1658
2012	2	5	4	1535
2011	11	45	4	1541
2014	10	43	6	1479
2006	5	18	4	1607
2008	8	32	1	1555
2006	4	16	7	1176
2008	8	32	7	1322
2012	7	29	3	1543
2006	4	16	1	1499
2009	8	33	1	1441
2010	4	16	7	1099
2007	2	7	1	1410
2007	2	7	7	1110
2014	7	28	6	1399
2015	7	29	2	1392
2006	3	11	1	1536
2011	4	17	5	1543
2011	4	17	3	1475
2006	10	40	3	1654
2007	10	43	5	1522
2009	8	34	2	1501
2013	6	23	5	1239
2007	10	43	3	1627
2014	3	12	4	1488
2010	1	4	4	1353
2006	2	6	3	1547
2008	2	8	5	1121
2014	9	38	4	1558
2011	6	26	4	1556
2007	10	40	2	1683
2008	8	35	2	1589
2011	10	43	1	1359
2011	10	43	7	992
2008	4	18	1	1244
2007	11	44	5	1494
2013	4	17	5	1394
2012	7	31	1	1517
2011	2	5	5	1329
2009	6	24	6	1390
2011	6	23	5	1477
2013	12	50	2	1378
2010	12	52	1	334
2006	5	19	5	1524
2008	3	13	7	1107
2013	12	52	4	1228
2011	10	40	4	1445
2007	4	16	2	1613
2012	3	12	4	1555
2014	10	44	5	1385
2007	4	15	1	1329
2010	3	13	3	1394
2010	12	50	7	1158
2014	10	44	3	1464
2010	5	17	7	1283
2014	12	50	7	1203
2006	4	17	2	1579
2012	7	28	6	1496
2010	9	39	3	1640
2009	10	43	7	1281
2015	9	40	3	1446
2006	3	10	2	1522
2010	12	51	4	1291
2009	7	29	6	1406
2006	12	50	3	1480
2011	5	18	5	1517
2007	8	33	7	1291
2008	2	8	3	1485
2008	1	1	7	1241
2010	3	11	3	1546
2006	7	29	1	1506
2010	4	15	6	1333
2011	6	25	1	1447
2012	5	21	5	1495
2006	7	29	7	1292
2013	5	19	6	1357
2012	5	21	3	1638
2015	12	49	3	1326
2010	6	24	1	1458
2010	6	24	7	1170
2014	10	42	3	1588
2008	1	2	4	1699
2006	5	19	3	1695
2007	1	3	6	1281
2006	7	30	4	1595
2012	7	30	6	1426
2015	9	38	5	1599
