		188146
1000705	211712	6
1000706	166992	3
1000707	150888	4
1000707	190252	127
1000707	247274	102
1000708	228262	81
1000708	238852	820
1000709	201392	19
1000710	149942	1
1000710	200019	68
1000710	226718	129
1000710	231749	28
1000711	208212	1
1000711	235993	501
1000712	193802	138
1000713	192848	2
1000713	209947	16
1000713	239764	41
1000713	242928	102
1000714	201350	3
1000715	245404	4
1000716	151988	9
1000717	195111	394
1000717	242477	2
1000719	204470	18
1000719	229746	127
1000719	233431	143
1000720	157686	44
1000720	187524	41
1000721	201074	11
1000722	198962	21
1000723	217418	3
1000725	231291	23
1000725	237929	86
1000726	212317	50
1000726	249266	35
1000727	173817	17
1000727	212823	18
1000727	237928	1
1000728	229154	1
1000728	246388	169
1000729	248239	20
1000731	196802	30
1000731	243512	192
1000732	201212	10
1000732	212699	38
1000732	244885	126
1000733	160775	62
1000733	192989	2
1000734	192714	72
1000734	203315	89
1000735	164368	14
1000735	168962	23
1000735	194966	42
1000736	172117	20
1000737	186306	7
1000737	231883	58
1000737	241071	466
1000739	159368	19
1000739	186390	31
1000740	187390	25
1000741	213250	34
1000741	230833	360
1000742	153624	60
1000744	155622	164
1000744	162831	50
1000744	170428	11
1000745	232476	61
1000745	247397	35
1000746	198537	32
1000746	201116	41
1000746	237029	453
1000747	189985	318
1000748	234008	65
1000749	194083	65
1000749	232957	47
1000750	178281	19
1000750	215428	5
1000751	167392	83
1000752	210212	4
1000752	242143	4
1000753	194835	89
1000754	192580	271
1000754	215730	14
1000754	240481	35
1000754	243054	41
1000755	168711	14
1000755	243354	34
1000756	236127	73
1000757	164737	38
1000757	248818	49
1000758	241841	209
1000760	187256	33
1000760	216031	6
1000761	201959	3
1000762	216328	47
1000763	176551	84
1000764	216625	12
1000764	232018	5
1000767	198398	44
1000767	238054	184
1000767	248387	84
1000768	184108	30
1000769	160298	5
1000769	166556	62
1000769	178051	40
1000769	197882	57
1000770	194265	42
1000770	194703	55
1000770	210351	3
1000770	249443	36
1000771	171691	47
1000771	228377	137
1000772	199195	49
1000772	208087	21
1000772	230366	219
1000773	212060	50
1000774	192446	104
1000776	200904	147
1000777	157298	12
