,year,month,weeknum,weekday,freq_complian,freq_motor
410,2012,2,5,4,1535,
411,2011,11,45,4,1541,
412,2014,10,43,6,1479,515
413,2006,5,18,4,1607,
414,2008,8,32,1,1555,
415,2006,4,16,7,1176,
416,2008,8,32,7,1322,
417,2012,7,29,3,1543,558
418,2006,4,16,1,1499,
419,2009,8,33,1,1441,
420,2010,4,16,7,1099,
421,2007,2,7,1,1410,
422,2007,2,7,7,1110,
423,2014,7,28,6,1399,550
424,2015,7,29,2,1392,656
425,2006,3,11,1,1536,
426,2011,4,17,5,1543,
427,2011,4,17,3,1475,
428,2006,10,40,3,1654,
429,2007,10,43,5,1522,
430,2009,8,34,2,1501,
431,2013,6,23,5,1239,791
432,2007,10,43,3,1627,
433,2014,3,12,4,1488,627
434,2010,1,4,4,1353,
435,2006,2,6,3,1547,
436,2008,2,8,5,1121,
437,2014,9,38,4,1558,649
438,2011,6,26,4,1556,
439,2007,10,40,2,1683,
440,2008,8,35,2,1589,
441,2011,10,43,1,1359,
442,2011,10,43,7,992,
443,2008,4,18,1,1244,
444,2007,11,44,5,1494,
445,2013,4,17,5,1394,675
446,2012,7,31,1,1517,529
447,2011,2,5,5,1329,
448,2009,6,24,6,1390,
449,2011,6,23,5,1477,
450,2013,12,50,2,1378,539
451,2010,12,52,1,334,
452,2006,5,19,5,1524,
453,2008,3,13,7,1107,
454,2013,12,52,4,1228,428
455,2011,10,40,4,1445,
456,2007,4,16,2,1613,
457,2012,3,12,4,1555,
458,2014,10,44,5,1385,668
459,2007,4,15,1,1329,
460,2010,3,13,3,1394,
461,2010,12,50,7,1158,
462,2014,10,44,3,1464,555
463,2010,5,17,7,1283,
464,2014,12,50,7,1203,437
465,2006,4,17,2,1579,
466,2012,7,28,6,1496,536
467,2010,9,39,3,1640,
468,2009,10,43,7,1281,
469,2015,9,40,3,1446,634
470,2006,3,10,2,1522,
471,2010,12,51,4,1291,
472,2009,7,29,6,1406,
473,2006,12,50,3,1480,
474,2011,5,18,5,1517,
475,2007,8,33,7,1291,
476,2008,2,8,3,1485,
477,2008,1,1,7,1241,
