,lat,long,zipcode
1742,-73.8201397444881,40.86889506081317,10464
1743,-73.82023653394123,40.86914713017024,10464
1744,-73.82055583259282,40.86926749773911,10464
1745,-73.82038734140178,40.86960350215718,10464
1746,-73.82094084899991,40.86965333014471,10464
1747,-73.8211081655848,40.87030059558703,10464
1748,-73.8215385301036,40.86998666035274,10464
1749,-73.8220914010322,40.87041606820968,10464
1750,-73.8219146793306,40.87108175316663,10464
1751,-73.82197926433558,40.871811060710414,10464
1752,-73.82165063951803,40.87215255219366,10464
1753,-73.82124139027763,40.872276821434504,10464
1754,-73.82122550911845,40.872473303557236,10464
1755,-73.82115122641552,40.87254817045338,10464
1756,-73.82097378676147,40.872558886695934,10464
1757,-73.82086639095672,40.87250420977611,10464
1758,-73.82080637585044,40.87234909995018,10464
1759,-73.82073649186712,40.872360052130134,10464
1760,-73.82078112534714,40.87250329666197,10464
1761,-73.82102940566537,40.872592492805914,10464
1762,-73.82121151716227,40.8726289279665,10464
1763,-73.82112792844198,40.87283453156385,10464
1764,-73.821365615955,40.87277833546738,10464
1765,-73.82147824776898,40.87246051614982,10464
1766,-73.82186792425696,40.87258456468647,10464
1767,-73.82192202982975,40.87280557618872,10464
1768,-73.8216505316006,40.87311847785814,10464
1769,-73.82118121354266,40.87307527096774,10464
1770,-73.82048264958415,40.87359548625939,10464
1771,-73.82128096486807,40.87414418799764,10464
1772,-73.82154511510707,40.874116376330264,10464
1773,-73.82193342306326,40.87372651210255,10464
1774,-73.82215815010082,40.8747508486563,10464
1775,-73.82095775482173,40.874344224250784,10464
1776,-73.8207633817895,40.874188489900504,10464
1777,-73.82074496564246,40.874499942473804,10464
1778,-73.82040917504894,40.8743990194048,10464
1779,-73.81998525195121,40.8734525988339,10464
1780,-73.81932678410855,40.87340388346204,10464
1781,-73.81892801979022,40.873704383161595,10464
1782,-73.81925372049496,40.87384258224034,10464
1783,-73.81971167911198,40.87364775004452,10464
1784,-73.81996944882958,40.87381244592597,10464
1785,-73.81983530141841,40.87403632524965,10464
1786,-73.8192056377269,40.87409880881996,10464
1787,-73.81920090747796,40.87446805532019,10464
1788,-73.81989191629148,40.87421183532445,10464
1789,-73.82032534873318,40.874844023460504,10464
1790,-73.8213216424435,40.874783461755335,10464
1791,-73.82161683348471,40.87511988747258,10464
1792,-73.82135368900038,40.8753021879425,10464
1793,-73.82089583465515,40.87512688235646,10464
1794,-73.82039852122311,40.87531146983053,10464
1795,-73.81978712945302,40.87634756448091,10464
1796,-73.82000892836454,40.87653648749649,10464
1797,-73.82003359417459,40.87682219538902,10464
1798,-73.8206729532715,40.87722716362098,10464
1799,-73.82077435626832,40.87721831445,10464
1800,-73.82050722159741,40.87674598709048,10464
1801,-73.82040462401979,40.87598468074894,10464
1802,-73.82057211344507,40.87597837941141,10464
1803,-73.82120177602941,40.87669625244085,10464
1804,-73.82097820765502,40.87705995474463,10464
1805,-73.82105069278856,40.87754913094005,10464
1806,-73.82073538465396,40.877910194281,10464
1807,-73.82023001095581,40.87814393695198,10464
1808,-73.82056533397778,40.87853052634903,10464
1809,-73.82053649748126,40.879187169370354,10464
1810,-73.82041480851636,40.87923163262181,10464
1811,-73.8201706131598,40.87893831973947,10464
1812,-73.82000198558202,40.879060756584764,10464
1813,-73.8203876891402,40.87953482283617,10464
1814,-73.82003258302505,40.87978262806132,10464
1815,-73.82033779901931,40.879929605016436,10464
1816,-73.82017630921996,40.88011868487316,10464
1817,-73.82030247435756,40.88043095474809,10464
1818,-73.8201728145098,40.88086419670202,10464
1819,-73.82006165687784,40.8810383238268,10464
1820,-73.81914050295237,40.88133439552776,10464
1821,-73.8198545162374,40.881656988410974,10464
1822,-73.81974078247845,40.88192189842965,10464
1823,-73.8192576834462,40.88209772868325,10464
1824,-73.81980767496067,40.88216396232372,10464
1825,-73.81962377735846,40.88250800201376,10464
1826,-73.81982686951557,40.88273836428542,10464
1827,-73.81933485344211,40.883533206255976,10464
1828,-73.81972037367497,40.88454911480106,10464
1829,-73.81928295611075,40.88476774820505,10464
1830,-73.81925550132047,40.88505934444982,10464
1831,-73.81884146983569,40.88524837772974,10464
1832,-73.8183722513277,40.88524835800626,10464
1833,-73.81797477261914,40.885052226907575,10464
1834,-73.81791194782949,40.88466239300454,10464
1835,-73.81829893616639,40.88406072043014,10464
1836,-73.81775829841058,40.88466732380709,10464
1837,-73.81785917229205,40.88511356497851,10464
1838,-73.81807391251706,40.88527305588936,10464
1839,-73.81893890726177,40.885340041803595,10464
1840,-73.81952169439379,40.88509733835185,10464
1841,-73.81989026881828,40.88558675743661,10464
1842,-73.81536559417835,40.886650406239866,10464
1843,-73.81524906595314,40.88798305946022,10464
1844,-73.81538709262482,40.889394532283156,10464
1845,-73.85588385892534,40.883861742213156,10469
1846,-73.85011188665067,40.88201978489958,10469
1847,-73.84324113067845,40.879108941376,10469
1848,-73.8412778396824,40.880317574253034,10469
1849,-73.83874272605091,40.88126599131793,10469
1850,-73.8362376164404,40.876666607891764,10469
1851,-73.8352571594773,40.8751609714878,10469
1852,-73.83457615857907,40.87271392397288,10469
1853,-73.83358258058475,40.870176694290585,10469
1854,-73.83324190886295,40.86846457676472,10469
1855,-73.82962292408214,40.862260985762774,10469
1856,-73.82910818577328,40.861557679062436,10469
1857,-73.82762976473403,40.860150300375636,10469
1858,-73.82694709281415,40.85841707500112,10469
1859,-73.8265554384257,40.85665337707631,10469
1860,-73.83242787237616,40.85606385717291,10469
1861,-73.84390190641878,40.85778583002551,10469
1862,-73.84716176779602,40.858082687762206,10469
1863,-73.84965832415467,40.85810874143762,10469
1864,-73.85614534643452,40.857558550700126,10469
1865,-73.86179102367969,40.857386272168014,10469
1866,-73.86122391437758,40.87448625291286,10469
1867,-73.8610738882918,40.87447153400961,10469
1868,-73.85588385892534,40.883861742213156,10469
1869,-73.88701149869945,40.88247195835246,10468
1870,-73.88591733196253,40.88044825589067,10468
1871,-73.88565554628217,40.87888925535523,10468
1872,-73.88532324287469,40.87917787146166,10468
1873,-73.8848046951032,40.878455659074724,10468
1874,-73.88744620398938,40.872622685938005,10468
1875,-73.8882377690268,40.871783301860255,10468
1876,-73.89097593617022,40.870158935708865,10468
1877,-73.89188021553949,40.86934418642266,10468
1878,-73.8971320230222,40.862454088768764,10468
1879,-73.89994955967967,40.857419976900566,10468
1880,-73.90369134614956,40.85870896310556,10468
1881,-73.90390816017985,40.858367612912396,10468
1882,-73.90679734639433,40.859373612459045,10468
1883,-73.90725786070145,40.85935345596542,10468
1884,-73.9091549498034,40.86030035347019,10468
1885,-73.91010178096785,40.86010444416867,10468
