lat,long,zipcode,Lat_Lon
-73.72786453,40.75060645,11426,"(-73.7278645310041, 40.7506064490009)"
-73.72659781,40.75194026,11426,"(-73.7265978113137, 40.7519402557696)"
-73.72448557,40.75316272,11426,"(-73.7244855725473, 40.7531627163281)"
-73.72304547,40.75429984,11426,"(-73.7230454722311, 40.7542998388858)"
-73.81088635,40.72717188,11365,"(-73.8108863474476, 40.7271718757592)"
-73.8111587,40.72811579,11365,"(-73.811158696328, 40.7281157888933)"
-73.81087858,40.73044076,11365,"(-73.8108785773719, 40.7304407611191)"
-73.81039284,40.73832811,11365,"(-73.8103928360316, 40.7383281125681)"
-73.81497231,40.73857247,11365,"(-73.8149723143008, 40.7385724735496)"
-73.8150963,40.73923376,11365,"(-73.8150962962076, 40.7392337627355)"
-73.81320839,40.73898668,11365,"(-73.8132083939493, 40.7389866807971)"
-73.81035512,40.73887139,11365,"(-73.8103551192008, 40.7388713863989)"
-73.81013261,40.74229508,11365,"(-73.8101326119041, 40.7422950820698)"
-73.81430884,40.7429738,11365,"(-73.8143088437405, 40.7429737987062)"
-73.81389549,40.74418396,11365,"(-73.8138954856628, 40.7441839619777)"
-73.81367361,40.74555588,11365,"(-73.8136736120338, 40.7455558847995)"
-73.8141617,40.7461386,11365,"(-73.8141617043293, 40.7461386017966)"
-73.80750598,40.75013661,11365,"(-73.8075059816449, 40.7501366113701)"
-73.80287801,40.74978342,11365,"(-73.8028780059629, 40.7497834230939)"
-73.80281094,40.74908548,11365,"(-73.8028109438988, 40.749085480094)"
-73.79802487,40.74871188,11365,"(-73.7980248720575, 40.7487118822742)"
-73.79797927,40.74898308,11365,"(-73.7979792687436, 40.7489830768853)"
-73.79644617,40.74985924,11365,"(-73.7964461683404, 40.7498592425012)"
-73.79481031,40.74864724,11365,"(-73.7948103071554, 40.7486472424813)"
-73.7948156,40.74842181,11365,"(-73.7948155980844, 40.748421814975)"
-73.7923078,40.74832842,11365,"(-73.7923078015693, 40.7483284193629)"
-73.79229828,40.74847044,11365,"(-73.7922982792594, 40.7484704430322)"
-73.77980639,40.75189503,11365,"(-73.7798063864634, 40.7518950301779)"
-73.7755962,40.7431889,11365,"(-73.7755961969901, 40.7431889042694)"
-73.7728613,40.73627593,11365,"(-73.7728613033638, 40.7362759320353)"
-73.77952303,40.73428105,11365,"(-73.7795230300659, 40.7342810505779)"
-73.78834468,40.73131879,11365,"(-73.7883446836156, 40.7313187902407)"
-73.80041316,40.72837218,11365,"(-73.8004131591045, 40.7283721818527)"
-73.88722098,40.72752619,11373,"(-73.8872209846716, 40.7275261876614)"
-73.88720759,40.72875324,11373,"(-73.8872075856563, 40.7287532375611)"
-73.88755961,40.73019707,11373,"(-73.887559614525, 40.7301970739521)"
-73.88805975,40.73008724,11373,"(-73.8880597492178, 40.7300872434507)"
